                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.902,                 2.1761,                 2.1644,                0.51378,                 0.3672,                0.38418,                0.18121,                 1.8008,                 2.1433,                 2.1394,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.8623,                 2.1239,                 2.1212,                0.47921,                 0.3827,                0.39462,                0.19031,                 1.8146,                 2.1018,                    2.2,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.8618,                 2.1381,                 2.1563,                0.46588,                 0.4136,                0.41968,                0.20426,                  1.782,                 1.9848,                 2.1468,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.8329,                 2.1252,                 2.1349,                0.46619,                0.43333,                0.40341,                0.19135,                 1.8349,                 1.9575,                 2.1879,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.8663,                 2.1668,                 2.1599,                0.50633,                0.44876,                0.43362,                0.20588,                 1.7826,                 1.9129,                  2.149,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.8268,                 2.0692,                 2.1149,                0.53534,                0.42402,                0.45606,                0.23611,                 1.7657,                 1.9036,                 2.1247,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.8415,                 2.0656,                 2.1203,                 0.5325,                0.42633,                0.43092,                0.20197,                  1.792,                 2.1594,                 2.1353,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.8353,                 2.0924,                 2.0979,                 0.4471,                0.48027,                0.41039,                 0.2034,                 1.7263,                 2.0576,                 2.0907,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.8053,                 2.0119,                 2.0663,                0.49992,                0.44019,                0.43681,                0.22919,                 1.7255,                 1.9442,                 2.1057,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.8268,                 2.0126,                 2.0719,                0.46617,                 0.4284,                0.42428,                0.20937,                 1.7807,                 2.0899,                 2.1524,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.7824,                 2.0775,                 2.0958,                0.61614,                0.46735,                0.52011,                0.25845,                 1.7414,                 1.8018,                 2.0808,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.7777,                 1.9131,                 2.0315,                0.54538,                0.46161,                0.50205,                0.25587,                 1.7484,                 1.7806,                 2.1034,             0.00095736,             0.00095736,             0.00095736
                     46,                  1.801,                 1.9225,                 2.0065,                0.45067,                0.46744,                0.44683,                0.22455,                  1.757,                 1.8595,                 2.0826,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.8105,                 2.0106,                 2.0577,                0.56628,                 0.4746,                0.50348,                0.26792,                 1.6334,                  1.848,                 1.9968,             0.00092435,             0.00092435,             0.00092435
